loan_no,type_of_request,priority,status,screen_updated,date_time_completed,remarks,followup1,followup2,followup3
46122301379636,1,high,Completed,Yes,,Called #8664872643 and as per automated voice gave the email to mortgage@asiservice.com and the ETA is 24-48 hrs,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,2,low,Cancelled,Yes,,Pending Mtg Statement or Mtg Note/still no update 2/7/send text  up to to borr up to borrowet emial and text message and send a text to edwards 980 699-0027 to get copy of mortgage notes2/16 send another text to MR.raul to get another number for Mr edwards the number he gives is not responding.,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,3,high,Cancelled,Yes,,Pending Mtg Statement or Mtg Note/still no update 2/7/send text  up to to borr up to borrowet emial and text message and send a text to edwards 980 699-0027 to get copy of mortgage notes2/16 send another text to MR.raul to get another number for Mr edwards the number he gives is not responding.,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,4,low,Completed,yes,,707-942-2220 is no longer in service. Emailed to JOSHSJM@YAHOO.COM per google and verify if ok to get 4 on this email 2/6/23/requested 4 to joshsjm@yahoo.com and  the ETA 2 days.Send follow up via call and email/leave VM to make follow up,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,5,medium,Completed,Yes,2023-03-11 13:06:00,Emailed  JOSHSJM@YAHOO.COM  to get new and working number./as per josh the company number is not working and used personal number only.Not reflected in google,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,6,high,Completed,Yes,,"called 844-416-5372 and they said Whitehead Frank was not in their data, only Lisa Whitehead. Requested to get a new quote to add  Frank. They said they will reply to my fax number when they call the borrower and confirmed it.02/07| Called  844-416-5372 and spoke to  BJ smith and she said the he will call frank to number i give to update the quote.2/9Called to Bj SMith to 4406205659 and leave and VM to make follow up.2/13Called to 5177800328 and send request form to tlwright@acg.aaa.com",2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,7,medium,Completed,Yes,2023-03-11 13:06:00,Talked to jeremy via #517-788-5354 and send an email to Jeremy.vill@stores.clover.com and Give ETA 3 days/give me another number  8009528889 and email hrsscemploymentverification@kroger.com 2/9,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,8,low,Completed,Yes,,requested to jay.lerner@weinsuregroup.com for HOi and ETA 3-5 days/Requested updated renewal with correct details 2/7made follow up via email to request current and renewal HOI2/9.need invoice for current and change the mortgage in renewal.2/9 follow up the invoice for current HOI,,,
46122301379636,9,high,Completed,Yes,,call  automated service 800-972-3030.will received after 30 mins in my fax #,,,
46122301379636,10,medium,Ordered,Yes,,ordered to show most rececent paid/forwarded to lp to talk the borrower 2/7/23/requested to make conference call 2/13.send text message to borrower to follow up2/15.2/17 as per borrower he don't need do anything on this loan,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
46122301379636,11,high,Cancelled,Yes,,not needed per LP 2/7/22,,,
20362301399934,1,high,Completed,Yes,,Called #8664872643 and as per automated voice gave the email to mortgage@asiservice.com and the ETA is 24-48 hrs,,,
20362301399934,2,low,Cancelled,Yes,,Pending Mtg Statement or Mtg Note/still no update 2/7/send text  up to to borr up to borrowet emial and text message and send a text to edwards 980 699-0027 to get copy of mortgage notes2/16 send another text to MR.raul to get another number for Mr edwards the number he gives is not responding.,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
20362301399934,3,high,Cancelled,Yes,,Pending Mtg Statement or Mtg Note/still no update 2/7/send text  up to to borr up to borrowet emial and text message and send a text to edwards 980 699-0027 to get copy of mortgage notes2/16 send another text to MR.raul to get another number for Mr edwards the number he gives is not responding.,2023-03-11 13:06:00,2023-03-11 13:06:00,2023-03-11 13:06:00
20362301399934,4,low,Completed,yes,,707-942-2220 is no longer in service. Emailed to JOSHSJM@YAHOO.COM per google and verify if ok to get 4 on this email 2/6/23/requested 4 to joshsjm@yahoo.com and  the ETA 2 days.Send follow up via call and email/leave VM to make follow up,,,
20362301399934,5,medium,Completed,Yes,2023-03-11 13:06:00,Emailed  JOSHSJM@YAHOO.COM  to get new and working number./as per josh the company number is not working and used personal number only.Not reflected in google,,,
20362301399934,6,high,Completed,Yes,,"called 844-416-5372 and they said Whitehead Frank was not in their data, only Lisa Whitehead. Requested to get a new quote to add  Frank. They said they will reply to my fax number when they call the borrower and confirmed it.02/07| Called  844-416-5372 and spoke to  BJ smith and she said the he will call frank to number i give to update the quote.2/9Called to Bj SMith to 4406205659 and leave and VM to make follow up.2/13Called to 5177800328 and send request form to tlwright@acg.aaa.com",,,
20362301399934,7,medium,Completed,Yes,2023-03-11 13:06:00,Talked to jeremy via #517-788-5354 and send an email to Jeremy.vill@stores.clover.com and Give ETA 3 days/give me another number  8009528889 and email hrsscemploymentverification@kroger.com 2/9,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
